Experiment,year,section,start date,new start date,end date,new end date,operation,amount,unit
Exhaustion Land,2011,all plots,16-Oct-10,16/10/2010,,,Rolled,,
Exhaustion Land,2011,all plots,17-Oct-10,17/10/2010,,,Sprayed Regatta - water volume = 200 l/ha,0.6,l/ha
Exhaustion Land,2011,all plots,06-Apr-11,06/04/2011,,,Applied Kieserite,80,kg/ha
Exhaustion Land,2011,all plots,14/04/2011,14/04/2011,,,Applied Ammonium Sulphate Fertiliser,238,kg/ha
Exhaustion Land,2011,all plots,28/04/2011,28/03/2011,,,Sprayed Cherokee - Water volume - 118 l/ha. Applied to WW area only,1.25,l/ha
Exhaustion Land,2011,all plots,05-May-11,05/05/2011,,,Sprayed Bravo 500 in mix in 200 l/ha water,1,l/ha
Exhaustion Land,2011,all plots,05-May-11,05/05/2011,,,Sprayed Tracker in mix in 200 l/ha water,1.0,l/ha
Exhaustion Land,2011,all plots,05-May-11,05/05/2011,,,Sprayed Agriguard Chlormequat 720 in mix in 200 l/ha water,2.25,l/ha
Exhaustion Land,2011,all plots,10-May-11,10/05/2011,,,Applied Nitram,146,kg/ha
Exhaustion Land,2011,all plots,16-May-11,16/05/2011,,,Cut paths,,
Exhaustion Land,2011,all plots,19-May-11,19/05/2011,,,Sprayed Opus in mix in 100 l/ha water,0.8,l/ha
Exhaustion Land,2011,all plots,03-Jun-11,03/06/2011,,,Rotavated paths,,
Exhaustion Land,2011,all plots,08-Jun-11,08/06/2011,,,Cut paths,,
Exhaustion Land,2011,all plots,20-Jun-11,20/06/2011,,,Cut paths,,
Exhaustion Land,2011,all plots,12-Aug-11,12/08/2011,,,Combined O&E's - Opened up trials with commercial combine ready for yields to be taken,,
Exhaustion Land,2011,all plots,12-Aug-11,12/08/2011,,,Baled O&E's - Baled area discard area cut to open out trials,,
Exhaustion Land,2011,all plots,16-Aug-11,16/08/2011,,,Straw weights,,
Exhaustion Land,2011,all plots,16-Aug-11,16/08/2011,,,Combined - O&E's,,
Exhaustion Land,2011,all plots,13-Apr-11.,13/04/2011,,,Applied Nitram,580,kg/ha
Exhaustion Land,2011,all plots,O1-Aug-11,01/08/2011,,,Cut paths,,
Exhaustion Land,2011,all plots,,05/05/2011,,,Sprayed Ally Max in mix in 200 l/ha water,42,g/ha
Exhaustion Land,2011,all plots,,05/05/2011,,,Sprayed Starane 2 in mix in 200 l/ha water,0.75,l/ha
Exhaustion Land,2011,all plots,,19/05/2011,,,Sprayed Comet 200 in mix in 100 l/ha water,0.6,l/ha
Exhaustion Land,2011,all plots,,19/05/2011,,,Sprayed Bravo 500 in mix in 100 l/ha water,1,l/ha
Exhaustion Land,2011,all plots,,23/05/2011,,,Cut paths,,
Exhaustion Land,2011,all plots,,17/08/2011,,,straw baled,,
Exhaustion Land,2011,k test,07-Oct-10,07/10/2010,,,"Basal P (triple superphosphate) plots 02, 04, 06, 08 and 10",75,kg/ha
Exhaustion Land,2011,k test,,07/10/2011,,,"Muriate of Potash, plots 23, 43, 63, 83 & 103",125,kg/ha
Exhaustion Land,2011,k test,,07/10/2011,,,"Muriate of Potash, plots 24, 44, 64, 84, 104",250,kg/ha
Exhaustion Land,2011,p test,07-Oct-10,07/10/2010,,,"Triple superphosphate plots 011-013, 031-033, 051-053, 071-073, 091-093",75,kg/ha
Exhaustion Land,2011,p test,07-Oct-10,07/10/2010,,,"Muriate of Potash - plots 011-014, 031-034, 051-054, 071-074, 091-094.",250,kg/ha
Exhaustion Land,2012,all plots,15-Aug-11,15/08/2011,,,Combined for yield,,
Exhaustion Land,2012,all plots,15-Aug-11,15/08/2011,,,Straw weights,,
Exhaustion Land,2012,all plots,29-Sep-11,29/09/2011,,,"Applied Triple Super Phosphate, as per plan",,
Exhaustion Land,2012,all plots,29-Sep-11,29/09/2011,,,"Applied Muriate of Potash, as per plan",,
Exhaustion Land,2012,all plots,30-Sep-11,30/09/2011,,,"Applied Chalk, as per plan Plots 022, 024, 074.",2,t/ha
Exhaustion Land,2012,all plots,03-Oct-11,03/10/2011,,,ploughed,,
Exhaustion Land,2012,all plots,04-Oct-11,04/10/2011,,,Cultipressed,,
Exhaustion Land,2012,all plots,12-Oct-11,12/10/2011,,,Rolled,,
Exhaustion Land,2012,all plots,14-Oct-11,14/10/2011,,,Sprayed Liberator in 200 l/ha of water,0.6,l/ha
Exhaustion Land,2012,all plots,16-Mar-12,16/03/2012,,,Applied Ammonium Sulphate Fertiliser,238,kg/ha
Exhaustion Land,2012,all plots,22-Mar-12,22/03/2012,,,Sprayed Cherokee SE in mix in 200 l/ha,1.0,l/ha
Exhaustion Land,2012,all plots,05-May-12,05/05/2012,,,Sprayed Ally Max in mix in 200l/ha of water,42,g/ha
Exhaustion Land,2012,all plots,05-May-12,05/05/2012,,,Sprayed Bravo 500 in mix in 200 l/ha of water,1.0,l/ha
Exhaustion Land,2012,all plots,05-May-12,05/05/2012,,,Sprayed Tracker in mix in 200l/ha of water,1.0,l/ha
Exhaustion Land,2012,all plots,05-May-12,05/05/2012,,,Sprayed Agriguard in mix in 200l/ha of water,2.25,l/ha
Exhaustion Land,2012,all plots,05-May-12,05/05/2012,,,Sprayed Starane 2 in mix in 200l/ha of water,0.5,l/ha
Exhaustion Land,2012,all plots,05-May-12,30/09/2011,,,"Applied Chalk Plots 011, 023, 044, 061, 062, 063, 064, 071, 082, 083, 084, 103.",4,t/ha
Exhaustion Land,2012,all plots,05-May-12,30/09/2011,,,"Applied Chalk Plots 021, 041, 042, 043, 051, 054, 081, 101, 102, 104.",6,t/ha
Exhaustion Land,2012,all plots,05-May-12,23/05/2012,,,Sprayed Opus,0.8,l/ha
Exhaustion Land,2012,all plots,17-May-12,17/05/2012,,,Cut paths,,
Exhaustion Land,2012,all plots,23-May-12,23/05/2012,,,Sprayed Comet,0.6,l/ha
Exhaustion Land,2012,all plots,23-May-12,23/05/2012,,,Sprayed Bravo 500,1.0,l/ha
Exhaustion Land,2012,all plots,13-Jun-12,13/06/2012,,,Sprayed Amistar in mix in 100 l/ha of water,0.3,l/ha
Exhaustion Land,2012,all plots,14-Jun-12,14/06/2012,,,Cut paths,,
Exhaustion Land,2012,all plots,06-Aug-12,06/08/2012,,,Cut paths,,
Exhaustion Land,2012,all plots,07-Aug-12,07/08/2012,,,Sprayed Samurai,3,l/ha
Exhaustion Land,2012,all plots,23-Aug-12,23/08/2012,,,Harvested,,
Exhaustion Land,2012,all plots,24-Aug-12,24/08/2012,,,Harvested O&E's,,
Exhaustion Land,2012,all plots,24-Aug-12,24/08/2012,,,Sampled Baled and Weighed,,
Exhaustion Land,2012,all plots,20-Sep-12,20/09/2012,,,Sprayed Whole field w/ Weedazol EW,20,l/ha
Exhaustion Land,2012,all plots,28-Sep-12,28/09/2012,,,"Spread Muriate of Potash - plots 103, 83, 63, 43, 23",125,kg/ha
Exhaustion Land,2012,all plots,28-Sep-12,28/09/2012,,,"Spread Muriate of Potash - plots 104-94, 87-73, 64-54, 44-34, 24-14",250,kg/ha
Exhaustion Land,2012,all plots,28-Sep-12,28/09/2012,,,"Spread TSP as on sheet on plots 101-93, 81-73, 61-53, 41-33, 21-13",75,kg/ha
Exhaustion Land,2012,all plots,13-Jun-13,13/06/2013,,,Sprayed Prosaro in mix in 100 l/ha of water,0.7,l/ha
Exhaustion Land,2012,all plots,11-Apr-12.,11/04/2012,,,Applied Nitram Feriliser,580,kg/ha
Exhaustion Land,2012,all plots,17-May-12.,17/05/2012,,,Applied Nitram,145,kg/ha
Exhaustion Land,2012,all plots,,22/03/2012,,,Sprayed Justice in mix in 200 l/ha,0.125,l/ha
Exhaustion Land,2013,all plots,20-Sep-12,20/09/2012,,,Sprayed Whole field w/ Weedazol EW,20,l/ha
Exhaustion Land,2013,all plots,28-Sep-12,28/09/2012,,,"Spread MOP Fertilizer as on sheet on plots 104-94, 87-73, 64-54, 44-34, 24-14",250,kg/ha
Exhaustion Land,2013,all plots,28-Sep-12,28/09/2012,,,"Spread TSP as on sheet on plots 101-93, 81-73, 61-53, 41-33, 21-13",75,kg/ha
Exhaustion Land,2013,all plots,15-Nov-12,15/11/2012,,,"Sprayed Liberator, also O&E's at each end of EX/4",0.6,l/ha
Exhaustion Land,2013,all plots,15-Nov-12,15/11/2012,,,Spread Slug Pellets (Gusto),5,kg/ha
Exhaustion Land,2013,all plots,11-Mar-13,11/03/2013,,,Applied Kieserite,80,kg/ha
Exhaustion Land,2013,all plots,12-Mar-13,12/03/2013,,,Applied Ammonium Sulphate Fertiliser,238,kg/ha
Exhaustion Land,2013,all plots,25-Apr-13,25/04/2013,,,Applied Nitram,580,kg/ha
Exhaustion Land,2013,all plots,16-May-13,16/05/2013,,,Sprayed Ally Max,42,g/ha
Exhaustion Land,2013,all plots,16-May-13,16/05/2013,,,Sprayed Kingdom,1.25,l/ha
Exhaustion Land,2013,all plots,16-May-13,16/05/2013,,,Sprayed Bravo 500,1.00,l/ha
Exhaustion Land,2013,all plots,16-May-13,16/05/2013,,,Sprayed NewCycocel,2.0,l/ha
Exhaustion Land,2013,all plots,16-May-13,16/05/2013,,,Sprayed Hatchet Extra,1.0,l/ha
Exhaustion Land,2013,all plots,21-May-13,21/05/2013,,,Applied Nitram,145,kg/ha
Exhaustion Land,2013,all plots,06-Jun-13,06/06/2013,,,Sprayed Ingite,1.2,l/ha
Exhaustion Land,2013,all plots,18-Jun-13,18/06/2013,,,Sprayed Cello,0.55,l/ha
Exhaustion Land,2013,all plots,19-Jun-13,19/06/2013,,,Cut paths,,
Exhaustion Land,2013,all plots,12-Aug-13,12/08/2013,,,Claas Harvested,,
Exhaustion Land,2013,all plots,13-Aug-13,13/08/2013,,,Sampo - Harvested,,
Exhaustion Land,2013,all plots,04-Ju-13,04/07/2013,,,Cut paths,,
Exhaustion Land,2013,all plots,13-Aug-13.,13/08/2013,,,"baled, weighed and sampled plots",,
Exhaustion Land,2013,all plots,15-Oct-12.,15/10/2012,,,Drilled WW Xi19,400,seeds/m2
Exhaustion Land,2013,all plots,19-Ju-13,19/06/2013,,,Cut paths,,
Exhaustion Land,2013,all plots,28-Sep-12.,28/09/2012,,,"Spread MOP Fertilizer on plots - 103, 83, 63, 43, 23",125,kg/ha
Exhaustion Land,2013,all plots,,15/11/2012,,,"Sprayed PDM, also O&E's at each end of EX/4",2.7,l/ha
Exhaustion Land,2013,all plots,,06/06/2013,,,Sprayed Comet,0.4,l/ha
Exhaustion Land,2013,all plots,,20/08/2013,,,Claas Harvested O&E's,,
Exhaustion Land,2014,all plots,30-Sep-13,30/09/2013,,,"Applied MOP Fertiliser - Plots 023, 043, 063, 083, 103",125,kg/ha
Exhaustion Land,2014,all plots,30-Sep-13,30/09/2013,,,"Applied MOP Fertiliser - Plots 011, 012, 013, 014, 024, 031, 032, 033, 034, 044, 051, 052, 053, 054, 064, 071, 072, 073, 074, 084, 091, 092, 093, 094, 104",250,kg/ha
Exhaustion Land,2014,all plots,30-Sep-13,30/09/2013,,,"Applied TSP - All Plots except Plots 014, 034, 054, 074, 094",75,kg/ha
Exhaustion Land,2014,all plots,01-Oct-13,01/10/2013,,,Topping,,
Exhaustion Land,2014,all plots,02-Oct-13,02/10/2013,,,"Applied Chalk - Plots 013, 014, 041, 043, 051, 054, 072",2,l/ha
Exhaustion Land,2014,all plots,02-Oct-13,02/10/2013,,,"Applied Chalk - Plots 011, 012, 022, 023, 024, 031, 052, 053, 061, 062, 063, 064, 082, 083, 084, 101, 103",6,t/ha
Exhaustion Land,2014,all plots,09-Oct-13,09/10/2013,,,ploughed,,
Exhaustion Land,2014,all plots,10-Oct-13,10/10/2013,,,Cultipressed,,
Exhaustion Land,2014,all plots,18-Oct-13,18/10/2013,,,Drilled All Plots - variety Xi19,400,seeds/m2
Exhaustion Land,2014,all plots,27-Nov-13,27/11/2013,,,Applied Major Slug Pellets,4,kg/ha
Exhaustion Land,2014,all plots,27-Nov-13,27/11/2013,,,Sprayed Hallmark,50,ml/ha
Exhaustion Land,2014,all plots,27-Nov-13,27/11/2013,,,Sprayed Liberator,600,ml/ha
Exhaustion Land,2014,all plots,27-Nov-13,27/11/2013,,,Sprayed Stomp,1.7,l/ha
Exhaustion Land,2014,all plots,10-Mar-14,10/03/2014,,,Applied sulphate of ammonia - All Plots,238,kg/ha
Exhaustion Land,2014,all plots,03-Apr-14,03/04/2014,,,Sprayed Artemis,1.0,l/ha
Exhaustion Land,2014,all plots,03-Apr-14,03/04/2014,,,Sprayed Bravo 500,1.0,l/ha
Exhaustion Land,2014,all plots,03-Apr-14,03/04/2014,,,Sprayed BASF 3C 720,1.75,l/ha
Exhaustion Land,2014,all plots,13-May-14,13/05/2014,,,Applied Nitram - All Plots,145,kg/ha
Exhaustion Land,2014,all plots,16-May-14,16/05/2014,,,Sprayed Simba,30,g/ha
Exhaustion Land,2014,all plots,06-Jun-14,06/06/2014,,,Sprayed Cello,550,ml/ha
Exhaustion Land,2014,all plots,25-Jun-14,25/06/2014,,,Rotavated Fallow Areas (discard surrounds),,
Exhaustion Land,2014,all plots,19-Aug-14,19/08/2014,,,Claas Harvested O&E's,,
Exhaustion Land,2014,all plots,21-Aug-14,21/08/2014,,,Sampo - Harvested All Plots,,
Exhaustion Land,2014,all plots,24-Aug-14,24/08/2014,,,"Sampled, Baled and Weighed Straw - all plots",,
Exhaustion Land,2014,all plots,04-Sep-14,04/09/2014,,,Claas Combine - Harvesting Leftover Wheat from Trial,,
Exhaustion Land,2014,all plots,02-Oct-13.,02/10/2013,,,"Applied Chalk - Plots 021, 042, 044, 081, 071, 074, 091, 102, 104",4,t/ha
Exhaustion Land,2014,all plots,09-Apr-14.,09/04/2014,,,Applied Kieserite - all plots,80,kg/ha
Exhaustion Land,2014,all plots,28-Ap-14,28/04/2014,,,Sprayed Kingdom,1.25,l/ha
Exhaustion Land,2014,all plots,28-Apr-14.,28/04/2014,,,Sprayed Bravo 500,1.0,l/ha
Exhaustion Land,2014,all plots,31-Jul-14.,31/07/2014,,,Cut Paths - in and around experiment,,
Exhaustion Land,2014,all plots,xx/04/2014,01/04/2014,,,Applied Nitram Fertilizer - All Plots,580,kg/ha
Exhaustion Land,2014,all plots,,16/05/2014,,,Sprayed Vortex,1.5,l/ha
Exhaustion Land,2014,note,,,,,"Note Samples of grain and straw were taken for chemical analysis. The yield strips on plots 031, 034, 071, 074, 091 & 094 were made smaller this year to avoid areas where the crop had already been sampled by S. McGrath et al.",,
Exhaustion Land,2015,all plots,02/10/2014,02/10/2014,,,Applied TSP,75,kg/ha
Exhaustion Land,2015,all plots,02/10/2014,02/10/2014,,,"Applied MOP onto plots 103, 83, 63, 43 & 23",125,kg/ha
Exhaustion Land,2015,all plots,02/10/2014,02/10/2014,,,"Applied MOP onto plots 104-24, 91-11, 92-12, 93-13, 94-14.",250,kg/ha
Exhaustion Land,2015,all plots,08/10/2014,08/10/2014,,,Ploughed ground (thrown North),,
Exhaustion Land,2015,all plots,28/10/2014,28/10/2014,,,Drilled Crusoe trt Redigo Deter,400,seeds/m2
Exhaustion Land,2015,all plots,01/11/2014,01/11/2014,,,Ring Rolled all new drilling,,
Exhaustion Land,2015,all plots,10/11/2014,10/11/2014,,,Sprayed Crystal,4,l/ha
Exhaustion Land,2015,all plots,04/12/2014,04/12/2014,,,Sprayed Hallmark,50,ml/ha
Exhaustion Land,2015,all plots,23/03/2015,23/03/2015,,,Applied Ammonia Sulphate (21%N) onto plots,238,kg/ha
Exhaustion Land,2015,all plots,05/04/2015,05/04/2015,,,Sprayed Artemis,1,l/ha
Exhaustion Land,2015,all plots,05/04/2015,05/04/2015,,,Sprayed Bravo 500,1,l/ha
Exhaustion Land,2015,all plots,05/04/2015,05/04/2015,,,Sprayed Chlormequat 750,1.25,l/ha
Exhaustion Land,2015,all plots,05/04/2015,05/04/2015,,,Sprayed Moddus,150,ml/ha
Exhaustion Land,2015,all plots,09/04/2015,09/04/2015,,,Applied Nitram fertiliser (34.5%N) to Winter Wheat Plots,580,kg/ha
Exhaustion Land,2015,all plots,16/04/2015,16/04/2015,,,Applied Kieserite to Winter Wheat Plots,80,kg/ha
Exhaustion Land,2015,all plots,27/04/2015,27/04/2015,,,Sprayed Kingdom,1.25,l/ha
Exhaustion Land,2015,all plots,27/04/2015,27/04/2015,,,Sprayed Balear 720,700,ml/ha
Exhaustion Land,2015,all plots,30/04/2015,30/04/2015,,,Applied Nitram fertiliser (34.5%N) to Winter Wheat Plots,145,kg/ha
Exhaustion Land,2015,all plots,27/05/2015,27/05/2015,,,Sprayed Ally Max,30,gm/ha
Exhaustion Land,2015,all plots,27/05/2015,27/05/2015,,,Sprayed Gemstone,1,l/ha
Exhaustion Land,2015,all plots,27/05/2015,27/05/2015,,,Sprayed Bravo 500,1,l/ha
Exhaustion Land,2015,all plots,15/06/2015,15/06/2015,,,Sprayed Proline onto WW,500,ml/ha
Exhaustion Land,2015,all plots,06/08/2015,06/08/2015,,,Topped Paths HE,,
Exhaustion Land,2015,all plots,27/08/2015,27/08/2015,,,Sprayed Bassoon,750,ml/ha
Exhaustion Land,2015,all plots,07/09/2015,07/09/2015,,,Harvested All Commercial WW; Swathed Straw,,
Exhaustion Land,2015,all plots,13/09/2015,13/09/2015,,,Harvested All Plots for Grain Yield,,
Exhaustion Land,2015,all plots,13/09/2015,13/09/2015,,,Sampled Baled and Weighed,,
Exhaustion Land,2015,all plots,,17/09/2015,,,removed round bales from field,,
Exhaustion Land,2015,all plots,,07/09/2015,,,Straw swathed,,
Exhaustion Land,2016,all plots,04/04/2016,04/04/2016,,,Applied Nitram @ 34.5%N,840,kg/ha
Exhaustion Land,2016,all plots,,01/10/2016,,,"Applied TSP - plots 101-021, 102-022, 103-023, 104-024, 091-011 & 092-012",75,kg/ha
Exhaustion Land,2016,all plots,,25/08/2016,,,Harvested all plots,,
Exhaustion Land,2016,note,,,,,"Note Samples of grain and straw were taken for chemical analysis. The yield strips on plots 031-034, 071-074, 091-094 (12 plots in total) were made smaller this year to avoid areas where the crop had already been sampled by S. McGrath et al. 16/R/EX/4",,
Exhaustion Land,2016,p test,25/08/2015,25/08/2015,,,Sprayed Firebrand,1,l/ha
Exhaustion Land,2016,p test,25/08/2015,25/08/2015,,,Sprayed Samurai,4,l/ha
Exhaustion Land,2016,p test,25/08/2015,25/08/2015,,,Sprayed Firebrand,1,l/ha
Exhaustion Land,2016,p test,01/10/2015,01/10/2015,,,"Applied MOP - Plots 103, 83, 63, 43 & 23",125,kg/ha
Exhaustion Land,2016,p test,01/10/2015,01/10/2015,,,"Applied MOP - Plots 094-014, 092-012, 104-024, 093-013, 091-011",250,kg/ha
Exhaustion Land,2016,p test,09/10/2015,09/10/2015,,,Ploughed; thrown south,,
Exhaustion Land,2016,p test,09/10/2015,09/10/2015,,,Topped all field and exp - Batwing,,
Exhaustion Land,2016,p test,15/10/2015,15/10/2015,,,Power harrowed - Seed bed preparation,,
Exhaustion Land,2016,p test,15/10/2015,15/10/2015,,,Drilled Crusoe trt Redigo,350,seeds/m2
Exhaustion Land,2016,p test,18/10/2015,18/10/2015,,,Ring Rolled all new drilling,,
Exhaustion Land,2016,p test,19/10/2015,19/10/2015,,,Sprayed WW - Liberater,0.6,l/ha
Exhaustion Land,2016,p test,19/10/2015,19/10/2015,,,Sprayed WW - Stomp Aqua,1.75,l/ha
Exhaustion Land,2016,p test,12/11/2015,12/11/2015,,,Sprayed Hallmark,40,ml/ha
Exhaustion Land,2016,p test,03/12/2015,03/12/2015,,,Applied TDS Major,5,kg/ha
Exhaustion Land,2016,p test,12/12/2015,12/12/2015,,,Sprayed Hallmark,40,ml/ha
Exhaustion Land,2016,p test,21/03/2016,21/03/2016,,,Applied Sulphate of Ammonia,238,kg/ha
Exhaustion Land,2016,p test,08/04/2016,08/04/2016,,,Sprayed Moddus,150,ml/ha
Exhaustion Land,2016,p test,08/04/2016,08/04/2016,,,Sprayed BASF 3C Chlormequat750,1.25,l/ha
Exhaustion Land,2016,p test,08/04/2016,08/04/2016,,,Sprayed Odin,500,ml/ha
Exhaustion Land,2016,p test,08/04/2016,08/04/2016,,,Sprayed Mirage 40ec,500,ml/ha
Exhaustion Land,2016,p test,08/04/2016,08/04/2016,,,Sprayed Bravo 500,1,l/ha
Exhaustion Land,2016,p test,13/04/2016,13/04/2016,,,Applied Kieserite - all plots,80,kg/ha
Exhaustion Land,2016,p test,05/05/2016,05/05/2016,,,Sprayed Keystone - wheat only,800,ml/ha
Exhaustion Land,2016,p test,05/05/2016,05/05/2016,,,Sprayed Keystone - wheat only,700,ml/ha
Exhaustion Land,2016,p test,24/05/2016,24/05/2016,,,Sprayed Vortex,1.5,l/ha
Exhaustion Land,2016,p test,24/05/2016,24/05/2016,,,Sprayed VortexCorbel,250,ml/ha
Exhaustion Land,2016,p test,09/07/2016,09/07/2016,,,Sprayed Cello,550,ml/ha
Exhaustion Land,2016,p test,09/07/2016,09/07/2016,,,Sprayed Hallmark,50,ml/ha
Exhaustion Land,2016,p test,22/08/2016,22/08/2016,,,Cut Paths using Iseki and Mower,,
Exhaustion Land,2016,p test,23/08/2016,23/08/2016,,,Mopped Up remaining crop,,
Exhaustion Land,2016,p test,26/08/2016,26/08/2016,,,Combined all crop using Tucano,,
Exhaustion Land,2017,all plots,26/09/2016,26/09/2016,,,Topped all stubble,,
Exhaustion Land,2017,all plots,26/09/2016,26/09/2016,,,"Applied TSP to plots 101-104, 081-084, 061-064, 041-044, 021-024, 091-092, 071-072, 051-052, 031-032 and 011-012",75,kg/ha
Exhaustion Land,2017,all plots,26/09/2016,26/09/2016,,,"Applied MOP to plots 103, 083, 063, 043, 023",125,kg/ha
Exhaustion Land,2017,all plots,26/09/2016,26/09/2016,,,"Applied MOP onto plots 104-094, 084-074, 064-054, 044-034 and 024-014",250,kg/ha
Exhaustion Land,2017,all plots,28/09/2016,28/09/2016,,,Ploughed - thrown North,,
Exhaustion Land,2017,all plots,06/10/2016,06/10/2016,,,Cultipressed - all ground and immediate surrounds,,
Exhaustion Land,2017,all plots,10/10/2016,10/10/2016,,,Ring Rolled all new drilling,,
Exhaustion Land,2017,all plots,10/10/2016,10/10/2016,,,Drilled Crusoe Treated w/Redigo Pro + Deter,350,seeds/m2
Exhaustion Land,2017,all plots,10/10/2016,10/10/2016,,,Cultipressed - all sites and surrounds,,
Exhaustion Land,2017,all plots,15/10/2016,15/10/2016,,,Sprayed Liberator,600,ml/ha
Exhaustion Land,2017,all plots,15/10/2016,15/10/2016,,,Sprayed Defy,3,l/ha
Exhaustion Land,2017,all plots,15/10/2016,15/10/2016,,,Sprayed Deploy,400,ml/ha
Exhaustion Land,2017,all plots,02/12/2016,02/12/2016,,,Sprayed Hallmark,50,ml/ha
Exhaustion Land,2017,all plots,21/03/2017,21/03/2017,,,Applied Kieserite,80,kg/ha
Exhaustion Land,2017,all plots,04/04/2017,04/04/2017,,,Applied Nitram,580,kg/ha
Exhaustion Land,2017,all plots,05/04/2017,05/04/2017,,,Sprayed Artemis,1,l/ha
Exhaustion Land,2017,all plots,05/04/2017,05/04/2017,,,Sprayed Claw 500,1,l/ha
Exhaustion Land,2017,all plots,05/04/2017,05/04/2017,,,Sprayed 3C Chlormequat 750,2,l/ha
Exhaustion Land,2017,all plots,27/04/2017,27/04/2017,,,Sprayed keystone,600,ml/ha
Exhaustion Land,2017,all plots,27/04/2017,27/04/2017,,,Sprayed epic,400,ml/ha
Exhaustion Land,2017,all plots,27/04/2017,27/04/2017,,,Sprayed Balear 720sc,700,ml/ha
Exhaustion Land,2017,all plots,05/05/2017,05/05/2017,,,Applied Nitram @ 34.5%N,145,kg/ha
Exhaustion Land,2017,all plots,08/06/2017,08/06/2017,,,Cut paths,,
Exhaustion Land,2017,all plots,19/06/2017,19/06/2017,,,Sprayed Fezan (Tebuconazole),750,ml/ha
Exhaustion Land,2017,all plots,26/06/2017,26/06/2017,,,cut all paths,,
Exhaustion Land,2017,all plots,27/07/2017,27/07/2017,,,cut all paths,,
Exhaustion Land,2017,all plots,01/09/2017,01/09/2017,,,Harvested all plots,,
Exhaustion Land,2017,all plots,02/09/2017,02/09/2017,,,Completed Straw Samples and Weights,,
Exhaustion Land,2017,all plots,06/09/2017,06/09/2017,,,harvested leftover wheat of harvested trials and surrounds,,
Exhaustion Land,2017,all plots,07/09/2017,07/09/2017,,,Baled all remaining commercial swath,,
Exhaustion Land,2017,all plots,,14/03/2017,,,Applied Sulphate of Ammonia (21%N 60%SO3) to all plots,238,kg/ha
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
