record_id,source_id,sequence,Experiment,harvest_year,plots,start_date_orig,start date,end_date_orig,end_date,type,flag,record,tidy_record,Column,rate,unit,water_volume,water_volume_unit
,1226,,R/CS/10,1962,sawyers i,17-Nov-61,17/11/1961,,,diary record,1,ploughed,Ploughed,,,,,
,1227,,R/CS/10,1962,sawyers i,05-Mar-62,05/03/1962,,,diary record,1,ground Chalk applied,Ground chalk applied,,,,,
,1228,,R/CS/10,1962,sawyers i,14-Mar-62,14/03/1962,,,diary record,1,rotary cultivated,rotary cultivated,,,,,
,1229,,R/CS/10,1962,sawyers i,15-Mar-62,15/03/1962,,,diary record,1,Superphosphate and muriate of potash applied,Superphosphate applied,,,,,
,1229,,R/CS/10,1962,sawyers i,15-Mar-62,15/03/1962,,,diary record,1,Superphosphate and muriate of potash applied,muriate of potash applied,,,,,
,1230,,R/CS/10,1962,sawyers i,16-Mar-62,16/03/1962,,,diary record,1,seed drilled at 200 lb per acre,Seed drilled,,200,lb per acre,,
,1231,,R/CS/10,1962,sawyers i,11-Apr-62,11/04/1962,,,diary record,1,sprayed with simazine at 1 1b in 40 gallons per acre,sprayed with simazine,,1,lb per acre,40,gallons per acre
,1232,,R/CS/10,1962,sawyers i,06-Jul-62,06/07/1962,,,diary record,1,sprayed with demeton methyl at 6 fluid oz in 60 gallons per acre,sprayed with demeton methyl,,6,fluid oz per acre,60,gallons per acre
,1233,,R/CS/10,1962,sawyers i,20-Sep-62,20/09/1962,,,diary record,1,combine harvested,combine harvested,,,,,
,1234,,R/CS/10,1962,sawyers i,,,,,variety,1,Tick 30B. ,Tick 30B.,,,,,
,1235,,R/CS/10,1962,sawyers i,,,,,note,1,Previous crop potatoes and fallow 1960 potatoes and fallow 1961,Previous crop potatoes and fallow 1960 potatoes and fallow 1961,,,,,
,1245,,R/CS/10,1963,sawyers i,04-Dec-62,04/12/1962,,,diary record,1,ground Chalk applied at 1 ton per acre to 'C' plots,Ground chalk applied to 'C' plots.,,1,ton per acre,,
,1246,,R/CS/10,1963,sawyers i,27-Mar-63,27/03/1963,,,diary record,1,ploughed,Ploughed,,,,,
,1247,,R/CS/10,1963,sawyers i,01-Apr-63,01/04/1963,,,diary record,1,ground Chalk applied at 1 ton per acre to 'C' plots. ,Ground chalk applied to 'C' plots.,,1,ton per acre,,
,1248,,R/CS/10,1963,sawyers i,03-Apr-63,03/04/1963,,,diary record,1,Superphosphate and muriate of potash applied,Superphosphate applied,,,,,
,1248,,R/CS/10,1963,sawyers i,03-Apr-63,03/04/1963,,,diary record,1,Superphosphate and muriate of potash applied,muriate of potash applied,,,,,
,1249,,R/CS/10,1963,sawyers i,08-Apr-63,08/04/1963,,,diary record,1,seed drilled at 200 lb per acre,Seed drilled,,200,lb per acre,,
,1250,,R/CS/10,1963,sawyers i,18-Apr-63,18/04/1963,,,diary record,1,sprayed with simzine at 1 1b in 40 gallons per acre,sprayed with simazine,,1,lb per acre,40,gallons per acre
,1251,,R/CS/10,1963,sawyers i,14-Jun-63,14/06/1963,,,diary record,1,sprayed with demeton-s-methyl at 6 fluid oz in 40 in per acre,sprayed with demeton-s-methyl,,6,fluid oz per acre,40,
,1252,,R/CS/10,1963,sawyers i,18-Oct-63,18/10/1963,,,diary record,1,combine harvested,combine harvested,,,,,
,1253,,R/CS/10,1963,sawyers i,,,,,variety,1,Tick 30B.,Tick 30B.,,,,,
,1262,,R/CS/10,1964,sawyers i,14-Nov-63,14/11/1963,,,diary record,1,ploughed,Ploughed,,,,,
,1263,,R/CS/10,1964,sawyers i,15-Feb-64,15/02/1964,,,diary record,1,fertilizers applied,Fertilizers applied,,,,,
,1264,,R/CS/10,1964,sawyers i,06-Mar-64,06/03/1964,,,diary record,1,seed drilled at 200 lb,Seed drilled,,200,lb per acre,,
,1265,,R/CS/10,1964,sawyers i,13-Mar-64,13/03/1964,,,diary record,1,sprayed with simazine at 1 1b in 40 gals,sprayed with simazine,,1,lb per acre,40,gallons per acre
,1266,,R/CS/10,1964,sawyers i,25-Aug-64,25/08/1964,,,diary record,1,combine harvested,combine harvested,,,,,
,1267,,R/CS/10,1964,sawyers i,,,,,variety,1,spring Tick,Spring Tick,,,,,
,1276,,R/CS/10,1965,sawyers i,18-Sep-64,18/09/1964,,,diary record,1,ploughed,Ploughed,,,,,
,1277,,R/CS/10,1965,sawyers i,01-Mar-65,01/03/1965,,,diary record,1,"fertilizers applied, 0.5 cwt N as 'Nitro-chalk' combine drilled.",Fertilizers applied,,,,,
,1277,,R/CS/10,1965,sawyers i,01-Mar-65,01/03/1965,,,diary record,1,"fertilizers applied, 0.5 cwt N as 'Nitro-chalk' combine drilled.",N as Nitro-chalk combine drilled,,0.5,cwt N per acre,,
,1278,,R/CS/10,1965,sawyers i,17-Mar-65,17/03/1965,,,diary record,1,seed drilled at 156 lb,Seed drilled,,156,lb per acre,,
,1279,,R/CS/10,1965,sawyers i,19-May-65,19/05/1965,,,diary record,1,"sprayed, mecoprop/2,4-D (Methoxone Extra at 6 pints in 34 gals)","sprayed, mecoprop/2,4-D (Methoxone Extra)",,6,pints per acre,34,gallons per acre
,1280,,R/CS/10,1965,sawyers i,05-Sep-65,05/09/1965,,,diary record,1,combine harvested,combine harvested,,,,,
,1281,,R/CS/10,1965,sawyers i,,,,,variety,1,Maris Badger,Maris Badger,,,,,
,1288,,R/CS/10,1966,sawyers i,10-Jan-66,10/01/1966,,,diary record,1,ploughed,Ploughed,,,,,
,1289,,R/CS/10,1966,sawyers i,14-Mar-66,14/03/1966,,,diary record,1,"P and K applied, 0.5 cwt N as 'Nitro-chalk' combine drilled. Seed drilled at 160 lb. ",P and K applied,,,,,
,1289,,R/CS/10,1966,sawyers i,14-Mar-66,14/03/1966,,,diary record,1,"P and K applied, 0.5 cwt N as 'Nitro-chalk' combine drilled. Seed drilled at 160 lb. ",N as Nitro-chalk combine drilled,,0.5,cwt N per acre,,
,1289,,R/CS/10,1966,sawyers i,14-Mar-66,14/03/1966,,,diary record,1,"P and K applied, 0.5 cwt N as 'Nitro-chalk' combine drilled. Seed drilled at 160 lb. ",Seed drilled,,160,lb per acre,,
,1290,,R/CS/10,1966,sawyers i,20-May-66,20/05/1966,,,diary record,1,"sprayed, Ioxynil/mecoprop ('Actril C' at 4 pints in 40 gals)","sprayed, Ioxynil/mecoprop (Actril C)",,4,pints per acre,40,gallons per acre
,1291,,R/CS/10,1966,sawyers i,26-Aug-66,26/08/1966,,,diary record,1,combine harvested,combine harvested,,,,,
,1292,,R/CS/10,1966,sawyers i,,,,,variety,1,Maris Badger,Maris Badger,,,,,
,1300,,R/CS/10,1967,sawyers i,16-Sep-66,16/09/1966,,,diary record,1,ploughed,Ploughed,,,,,
,1301,,R/CS/10,1967,sawyers i,22-Feb-67,22/02/1967,,,diary record,1,P and K applied,P and K applied,,,,,
,1302,,R/CS/10,1967,sawyers i,03-Mar-67,03/03/1967,,,diary record,1,seed drilled at 140 lb. 0.75 cwt N as 'Nitro-chalk' combine drilled.,Seed drilled,,140,lb per acre,,
,1302,,R/CS/10,1967,sawyers i,03-Mar-67,03/03/1967,,,diary record,1,seed drilled at 140 lb. 0.75 cwt N as 'Nitro-chalk' combine drilled.,N as Nitro-chalk combine drilled,,0.75,cwt N per acre,,
,1303,,R/CS/10,1967,sawyers i,12-May-67,12/05/1967,,,diary record,1,"weedkiller applied, mecoprop/2,4-D (Methoxone Extra at 6 pints in 30 gals)","weedkiller applied mecoprop/2,4-D (Methoxone Extra)",,6,pints per acre,30,gallons per acre
,1304,,R/CS/10,1967,sawyers i,22-Aug-67,22/08/1967,,,diary record,1,combine harvested,combine harvested,,,,,
,1305,,R/CS/10,1967,sawyers i,,,,,variety,1,Maris Badger,Maris Badger,,,,,
,4620,,R/CS/10,1968,sawyers i,25-Sep-67,,,,diary record,,ploughed,Ploughed,,,,,
,4621,,R/CS/10,1968,sawyers i,28-Mar-68,,,,diary record,,"'Nitro-chalk' applied, 1.5 cwt N as 'Nitro-chalk' broadcast before planting",Nitro-chalk broadcast before planting,1.5,cwtN/acre,,,
,4622,,R/CS/10,1968,sawyers i,04-Apr-68,,,,diary record,,P and K applied plots rotary cultivated potatoes machine planted,PK applied,,,,,
,4622,,R/CS/10,1968,sawyers i,04-Apr-68,,,,diary record,,P and K applied plots rotary cultivated potatoes machine planted,Plots rotary cultivated,,,,,
,4622,,R/CS/10,1968,sawyers i,04-Apr-68,,,,diary record,,P and K applied plots rotary cultivated potatoes machine planted,Potatoes machine planted,,,,,
,4623,,R/CS/10,1968,sawyers i,03-May-68,,,,diary record,,paraquat at 0.38 lb ion and linuron at 0.75 lb in 36 gals.,Paraquat,0.38,lb ion/acre,36,gallons/acre,
,4623,,R/CS/10,1968,sawyers i,03-May-68,,,,diary record,,paraquat at 0.38 lb ion and linuron at 0.75 lb in 36 gals.,Linuron,0.75,lb/acre,36,gallons/acre,
,4624,,R/CS/10,1968,sawyers i,04-Jul-68,,,,diary record,,mancozeb at 1.2 lb in 37 gals,Mancozeb,1.2,lb/acre,37,gallons/acre,
,4625,,R/CS/10,1968,sawyers i,19-Jul-68,,,,diary record,,mancozeb at 1.2 lb in 37 gals,Mancozeb,1.2,lb/acre,37,gallons/acre,
,4626,,R/CS/10,1968,sawyers i,05-Aug-68,,,,diary record,,mancozeb at 1.2 lb in 37 gals,Mancozeb,1.2,lb/acre,37,gallons/acre,
,4627,,R/CS/10,1968,sawyers i,19-Jul-68,,,,diary record,,demeton-s-methyl at 3.5 oz in 37 gals,Demeton-s-methyl,3.5,oz/acre,37,gallons/acre,
,4628,,R/CS/10,1968,sawyers i,30-Aug-68,,,,diary record,,sprayed with undiluted BOV at 15 gals,Sprayed with undiluted BOV,15,gallons/acre,,,sprayed with
,4629,,R/CS/10,1968,sawyers i,03-Oct-68,,,,diary record,,lifted,Lifted,,,,,
,4630,,R/CS/10,1968,sawyers i,,,,,variety,,Majestic,Majestic,,,,,
,4644,,R/CS/10,1969,sawyers i,31-Jan-69,,,,diary record,,ploughed,Ploughed,,,,,
,4645,,R/CS/10,1969,sawyers i,16-Apr-69,,26-Apr-69,,diary record,,rotary cultivated,Rotary cultivated,,,,,
,4646,,R/CS/10,1969,sawyers i,23-May-69,,,,diary record,,rotary cultivated,Rotary cultivated,,,,,
,4647,,R/CS/10,1969,sawyers i,03-Jul-69,,,,diary record,,rotary cultivated,Rotary cultivated,,,,,
,4648,,R/CS/10,1969,sawyers i,05-Aug-69,,,,diary record,,subsoiled 28 inches apart 20 inches deep,Subsoiled 28 inches apart 20 inches deep,,,,,
,4649,,R/CS/10,1969,sawyers i,08-Aug-69,,,,diary record,,deep-tine cultivated,Deep-tine cultivated,,,,,
,4650,,R/CS/10,1969,sawyers i,,,,,variety,,fallow,Fallow,,,,,
,4661,,R/CS/10,1970,sawyers i,30-Dec-69,,,,diary record,,ploughed,Ploughed,,,,,
,4662,,R/CS/10,1970,sawyers i,26-Mar-70,,,,diary record,,P and K applied,PK applied,,,,,
,4663,,R/CS/10,1970,sawyers i,28-Mar-70,,,,diary record,,"seed combine drilled at 140 lb, 0.75 cwt N as 'Nitro-chalk' combine drilled.",Seed combine drilled,140,lb/acre,,,
,4663,,R/CS/10,1970,sawyers i,28-Mar-70,,,,diary record,,"seed combine drilled at 140 lb, 0.75 cwt N as 'Nitro-chalk' combine drilled.",Nitro-chalk combine drilled,0.75,cwtN/acre,,,
,4664,,R/CS/10,1970,sawyers i,18-May-70,,,,diary record,,"2,4-D at 0.5 lb and dichlorprop at 2 lb in 20 gals","2,4-D",0.5,lb/acre,20,gallons/acre,
,4664,,R/CS/10,1970,sawyers i,18-May-70,,,,diary record,,"2,4-D at 0.5 lb and dichlorprop at 2 lb in 20 gals",Dichlorprop,2,lb/acre,20,gallons/acre,
,4665,,R/CS/10,1970,sawyers i,15-Aug-70,,,,diary record,,combine harvested,Combine harvested,,,,,
,4666,,R/CS/10,1970,sawyers i,,,,,variety,,Julia,Julia,,,,,
,4674,,R/CS/10,1971,sawyers i,22-Sep-70,,,,diary record,,paraquat at 0.84 kg ion in 225 l.,Paraquat,0.84,kg ion/ha,225,l/ha,
,4675,,R/CS/10,1971,sawyers i,28-Oct-70,,,,diary record,,Ploughed,Ploughed,,,,,
,4676,,R/CS/10,1971,sawyers i,03-Mar-71,,,,diary record,,P and K applied,PK applied,,,,,
,4677,,R/CS/10,1971,sawyers i,10-Mar-71,,,,diary record,,"Seed combine drilled at 157 kg, 94 kg N as 'Nitro-chalk' combine drilled",Seed combine drilled,157,kg/ha,,,
,4677,,R/CS/10,1971,sawyers i,10-Mar-71,,,,diary record,,"Seed combine drilled at 157 kg, 94 kg N as 'Nitro-chalk' combine drilled",Nitro-chalk combine drilled,94,kgN/ha,,,
,4678,,R/CS/10,1971,sawyers i,04-May-71,,,,diary record,,"ioxynil octanoate, bromoxynil octanoate and the iso-octyl ester of dichlorprop ('Oxytril P' at 1.4 l in 225 l)","Oxytril P (Ioxynil octanoate, Bromoxynil octanoate, Iso-octyl ester of Dichlorprop)",1.4,l/ha,225,l/ha,
,4679,,R/CS/10,1971,sawyers i,16-Aug-71,,,,diary record,,Combine harvested,Combine harvested,,,,,
,4680,,R/CS/10,1971,sawyers i,,,,,variety,,Julia,Julia,,,,,
,4688,,R/CS/10,1972,sawyers i,09-Sep-71,,,,diary record,,paraquat at 0.56 kg ion in 220 l,Paraquat,0.56,kg ion/ha,220,l/ha,
,4689,,R/CS/10,1972,sawyers i,11-Nov-71,,,,diary record,,Ploughed,Ploughed,,,,,
,4690,,R/CS/10,1972,sawyers i,20-Mar-72,,,,diary record,,P and K applied,PK applied,,,,,
,4691,,R/CS/10,1972,sawyers i,20-Mar-72,,,,diary record,,"seed combine drilled, 90 kg N as 'Nitro-chalk' combine drilled",Seed combine drilled,,,,,
,4691,,R/CS/10,1972,sawyers i,20-Mar-72,,,,diary record,,"seed combine drilled, 90 kg N as 'Nitro-chalk' combine drilled",Nitro-chalk combine drilled,90,kgN/ha,,,
,4692,,R/CS/10,1972,sawyers i,17-May-72,,,,diary record,,"ioxynil, bromoxynil, 2,4-DP and MCPA ('Tetroxone' at 5.6 l in 220 l)","Tetroxone (Ioxynil, Bromoxynil, 2,4-DP, MCPA)",5.6,l/ha,220,l/ha,
,4693,,R/CS/10,1972,sawyers i,03-Jul-72,,,,diary record,,CAO plots cut and carted because the crop had failed and plots were very weedy,CAO plots cut and carted because the crop had failed and plots were very weedy,,,,,
,4694,,R/CS/10,1972,sawyers i,03-Jul-72,,,,diary record,,CAO plots rotary cultivated,CAO plots rotary cultivated,,,,,
,4695,,R/CS/10,1972,sawyers i,11-Jul-72,,,,diary record,,CAO plots rotary cultivated,CAO plots rotary cultivated,,,,,
,4696,,R/CS/10,1972,sawyers i,24-Aug-72,,,,diary record,,Combine harvested,Combine harvested,,,,,
,4706,,R/CS/10,1973,sawyers i,29-Nov-72,,,,diary record,,ploughed,Ploughed,,,,,
,4707,,R/CS/10,1973,sawyers i,26-Feb-73,,,,diary record,,P and K applied,PK applied,,,,,
,4708,,R/CS/10,1973,sawyers i,12-Mar-73,,,,diary record,,"power harrowed, seed sown, 90 kg N as 'Nitro-chalk' combine drilled",Power harrowed,,,,,
,4708,,R/CS/10,1973,sawyers i,12-Mar-73,,,,diary record,,"power harrowed, seed sown, 90 kg N as 'Nitro-chalk' combine drilled",Seed sown,,,,,
,4708,,R/CS/10,1973,sawyers i,12-Mar-73,,,,diary record,,"power harrowed, seed sown, 90 kg N as 'Nitro-chalk' combine drilled",Nitro-chalk combine drilled,90,kgN/ha,,,
,4709,,R/CS/10,1973,sawyers i,15-May-73,,,,diary record,,"MCPA, mecoprop and Dicamba ('Banlene Plus' at 5.6 1 in 220 l)","Banlene Plus (Dicamba, Mecoprop, MCPA)",5.6,l/ha,220,l/ha,
,4710,,R/CS/10,1973,sawyers i,02-Jul-73,,,,diary record,,plots without lime rotary cultivated,Plots without lime rotary cultivated,,,,,
,4711,,R/CS/10,1973,sawyers i,13-Aug-73,,,,diary record,,combine harvested,Combine harvested,,,,,
,4720,,R/CS/10,1974,sawyers i,19-Nov-73,,,,diary record,,ploughed,Ploughed,,,,,
,4721,,R/CS/10,1974,sawyers i,23-Apr-74,,,,diary record,,"Basal N applied, 190 kg has 'Nitro-chalk'.",Basal N as Nitro-chalk,190,kgN/ha,,,
,4722,,R/CS/10,1974,sawyers i,24-Apr-74,,,,diary record,,"treatment P, K and Mg applied, spiked rotary cultivated, potatoes planted",Treatment P as superphosphate,,,,,
,4722,,R/CS/10,1974,sawyers i,24-Apr-74,,,,diary record,,"treatment P, K and Mg applied, spiked rotary cultivated, potatoes planted",Treatment K as muriate of potash,,,,,
,4722,,R/CS/10,1974,sawyers i,24-Apr-74,,,,diary record,,"treatment P, K and Mg applied, spiked rotary cultivated, potatoes planted",Treatment Mg as Epsom Salts,,,,,
,4722,,R/CS/10,1974,sawyers i,24-Apr-74,,,,diary record,,"treatment P, K and Mg applied, spiked rotary cultivated, potatoes planted",Spiked rotary cultivated,,,,,
,4722,,R/CS/10,1974,sawyers i,24-Apr-74,,,,diary record,,"treatment P, K and Mg applied, spiked rotary cultivated, potatoes planted",Potatoes planted,,,,,
,4723,,R/CS/10,1974,sawyers i,17-May-74,,,,diary record,,Linuron at 1.2 kg plus paraquat at 0.42 kg ion in 450 1.,Linuron,1.2,kg/ha,450,l/ha,
,4723,,R/CS/10,1974,sawyers i,17-May-74,,,,diary record,,Linuron at 1.2 kg plus paraquat at 0.42 kg ion in 450 1.,Paraquat,0.42,kg ion/ha,450,l/ha,
,4724,,R/CS/10,1974,sawyers i,19-Jun-74,,,,diary record,,grubbed,Grubbed,,,,,
,4725,,R/CS/10,1974,sawyers i,21-Jun-74,,,,diary record,,rotary ridged,Rotary ridged,,,,,
,4726,,R/CS/10,1974,sawyers i,11-Jul-74,,,,diary record,,demeton-s-methyl at 0.25 kg and mancozeb at 1.3 kg in 450 l.,Mancozeb,1.3,kg/ha,450,l/ha,
,4726,,R/CS/10,1974,sawyers i,11-Jul-74,,,,diary record,,demeton-s-methyl at 0.25 kg and mancozeb at 1.3 kg in 450 l.,Demeton-s-methyl,0.25,kg/ha,450,l/ha,
,4727,,R/CS/10,1974,sawyers i,02-Aug-74,,,,diary record,,mancozeb at 1.3 kg in 450 l,Mancozeb,1.3,kg/ha,450,l/ha,
,4728,,R/CS/10,1974,sawyers i,10-Sep-74,,,,diary record,,Haulm mechanically destroyed,Haulm mechanically destroyed,,,,,
,4729,,R/CS/10,1974,sawyers i,19-Sep-74,,,,diary record,,Sprayed with undiluted BOV at 250 l,Sprayed with undiluted BOV,250,l/ha,,,sprayed with
,4730,,R/CS/10,1974,sawyers i,10-Sep-74,,,,diary record,,lifted,Lifted,,,,,
,4744,,R/CS/10,1975,sawyers i,07-Feb-75,,,,diary record,,Chisel ploughed,Chisel ploughed,,,,,
,4745,,R/CS/10,1975,sawyers i,11-Mar-75,,,,diary record,,treatment P and K applied,Treatment P as superphosphate,,,,,
,4745,,R/CS/10,1975,sawyers i,11-Mar-75,,,,diary record,,treatment P and K applied,Treatment K as muriate of potash,,,,,
,4746,,R/CS/10,1975,sawyers i,25-Mar-75,,,,diary record,,"rotary cultivated, seed sown, N applied, 80 kg N as 'Nitro-chalk' combine drilled",Rotary cultivated,,,,,
,4746,,R/CS/10,1975,sawyers i,25-Mar-75,,,,diary record,,"rotary cultivated, seed sown, N applied, 80 kg N as 'Nitro-chalk' combine drilled",Seed sown,,,,,
,4746,,R/CS/10,1975,sawyers i,25-Mar-75,,,,diary record,,"rotary cultivated, seed sown, N applied, 80 kg N as 'Nitro-chalk' combine drilled",Nitro-chalk combine drilled,80,kgN/ha,,,
,4747,,R/CS/10,1975,sawyers i,19-May-75,,,,diary record,,Dicamba with mecoprop and MCPA ('Banlene Plus' at 5.6 1 in 220 1),"Banlene Plus (Dicamba, Mecoprop, MCPA)",5.6,l/ha,220,l/ha,
,4748,,R/CS/10,1975,sawyers i,18-Aug-75,,,,diary record,,combine harvested,Combine harvested,,,,,
,4754,,R/CS/10,1976,sawyers i,07-Oct-75,,,,diary record,,paraquat at 0.56 kg for in 220 l,Paraquat,0.56,kg ion/ha,220,l/ha,
,4755,,R/CS/10,1976,sawyers i,20-Oct-75,,,,diary record,,ploughed,Ploughed,,,,,
