Experiment,Year,section,start date,end date,operation,operation_type,flag,intensity,application_method,orig_operation,amount,amount unit,water,water unit,tank mix,plot,crop,variety,dressing,machine
R/WF/3,1856,wheat,01/09/1856,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1857,wheat,18/08/1857,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1858,wheat,12/08/1858,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1859,wheat,11/08/1859,12/08/1859,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1860,wheat,01/10/1860,02/10/1860,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1861,wheat,24/08/1861,26/08/1861,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1862,wheat,05/09/1862,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1863,wheat,19/08/1863,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1867,wheat,31/08/1867,02/09/1867,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1868,wheat,25/07/1868,28/07/1868,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1869,wheat,30/08/1869,01/09/1869,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1870,wheat,09/08/1870,10/08/1870,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1871,wheat,26/08/1871,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1872,wheat,23/08/1872,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1873,wheat,12/09/1873,16/09/1873,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1873,fallow,,,"ploughed, June 1873",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1873,fallow,,,"ploughed, July 1872",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1874,wheat,12/08/1874,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1874,wheat,,,"ploughed, September 1873",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1874,fallow,,,Cultivated 4 times between Sept 1873 and June 1874,tillage process,3,4,,Cultivated 4 times between Sept 1873 and June 1874,,,,,,,,,,
R/WF/3,1874,fallow,02/05/1874,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1875,wheat,23-08-1875,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1876,wheat,21-08-1876,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1877,wheat,23-08-1877,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1878,wheat,13-08-1878,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1879,wheat,17/09/1879,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1879,fallow,,,"ploughed, July 1879",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1880,wheat,20/08/1880,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1880,wheat,28/10/1879,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1880,fallow,,,Ploughed 3 times between October 1879 and June 1880,tillage process,3,3,,Ploughed 3 times between October 1879 and June 1880,,,,,,,,,,
R/WF/3,1881,wheat,15/08/1881,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1881,fallow,29/09/1880,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1881,fallow,,,"ploughed, April 1881",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1882,wheat,16/08/1882,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1882,fallow,,,"ploughed, June 1882",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1883,wheat,25/08/1883,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1883,fallow,,,"ploughed, March 1883",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1883,fallow,13/07/1883,,ploughed - date uncertain,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1884,wheat,06/08/1884,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1884,wheat,13/10/1883,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1884,fallow,13/10/1883,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1885,wheat,13/08/1885,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1885,fallow,,,Ploughed 4 times between Oct 1884 and June 1885,tillage process,3,4,,Ploughed 4 times between Oct 1884 and June 1885,,,,,,,,,,
R/WF/3,1886,wheat,26/08/1886,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1886,wheat,,,"ploughed, September 1885",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1886,fallow,,,Ploughed 4 times between Sept 1885 and Aug 1886,tillage process,3,4,,Ploughed 4 times between Sept 1885 and Aug 1886,,,,,,,,,,
R/WF/3,1887,wheat,11/08/1887,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1887,wheat,02/10/1886,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1887,fallow,,,Ploughed 3 times between Oct 1886 and June 1887,tillage process,3,3,,Ploughed 3 times between Oct 1886 and June 1887,,,,,,,,,,
R/WF/3,1888,wheat,08/08/1888,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1888,wheat,21/09/1887,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1888,fallow,21/09/1887,22/09/1887,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1889,wheat,20/08/1889,21/08/1889,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1889,fallow,,,Ploughed 4 times between Oct 1888 and Aug 1889,tillage process,3,4,,Ploughed 4 times between Oct 1888 and Aug 1889,,,,,,,,,,
R/WF/3,1890,wheat,09/08/1890,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1891,wheat,02/09/1891,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1891,wheat,11/09/1890,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1891,fallow,11/09/1890,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1891,fallow,06/07/1891,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1892,wheat,23/08/1892,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1892,fallow,22/08/1892,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1893,wheat,31/07/1893,01/08/1893,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1894,wheat,21/08/1894,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1894,fallow,25/10/1893,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1894,fallow,,,"ploughed, August 1894",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1895,wheat,09/08/1895,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1895,wheat,16/10/1894,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1895,fallow,16/10/1894,24/09/1895,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1896,wheat,25/07/1896,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1896,wheat,21/09/1895,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1896,fallow,21/09/1895,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1896,fallow,,,"ploughed, October 1895",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1897,wheat,13/08/1897,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1897,fallow,,,"ploughed, July 1896",tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1897,fallow,14/09/1896,15/09/1896,ploughed - dates uncertain,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1898,wheat,13/08/1898,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1899,wheat,11/08/1899,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1899,wheat,07/10/1898,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1899,fallow,07/10/1898,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1899,fallow,26/07/1899,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1900,wheat,11/08/1900,13/08/1900,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1901,wheat,13/08/1901,14/08/1901,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1902,wheat,28/08/1902,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1902,fallow,,,Ploughed 3 times between Oct 1901 and July 1902,tillage process,3,3,,Ploughed 3 times between Oct 1901 and July 1902,,,,,,,,,,
R/WF/3,1903,wheat,03/09/1903,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1903,wheat,06/10/1902,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1903,fallow,06/10/1902,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1903,fallow,17/11/1902,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1904,wheat,08/08/1904,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1905,wheat,01/08/1905,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1905,fallow,20/05/1905,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1905,fallow,10/07/1905,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1906,wheat,13/08/1906,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1906,fallow,25/09/1905,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1906,fallow,26/05/1906,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1907,wheat,24/08/1907,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1907,wheat,04/10/1906,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1907,fallow,04/10/1906,06/10/1906,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1907,fallow,06/06/1907,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1908,wheat,21/08/1908,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1908,wheat,01/11/1907,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1908,fallow,,,Ploughed 3 times between Nov 1907 and July 1908,tillage process,3,3,,Ploughed 3 times between Nov 1907 and July 1908,,,,,,,,,,
R/WF/3,1909,wheat,10/09/1909,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1909,wheat,21/10/1908,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1909,fallow,,,Ploughed 4 times between October 1908 and July 1909,tillage process,3,4,,Ploughed 4 times between October 1908 and July 1909,,,,,,,,,,
R/WF/3,1910,wheat,19/08/1910,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1910,wheat,27/09/1909,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1910,fallow,27/09/1909,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1910,fallow,28/06/1910,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1911,wheat,04/08/1911,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1911,fallow,10/12/1910,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1912,wheat,21/08/1912,22/08/1912,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1912,fallow,18/09/1911,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1912,fallow,22/11/1911,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1913,wheat,01/09/1913,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1913,wheat,21/10/1912,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1913,fallow,21/10/1912,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1913,fallow,12/04/1913,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1914,wheat,04/08/1914,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1915,wheat,30/08/1915,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1915,wheat,19/09/1914,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1915,fallow,19/09/1914,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1915,fallow,21/10/1914,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1916,wheat,28/08/1916,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1916,fallow,,,Ploughed 3 times between ?? 191? And July 1916,tillage process,3,3,,Ploughed 3 times between ?? 191? And July 1916,,,,,,,,,,
R/WF/3,1917,wheat,22/08/1917,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1917,fallow,07/06/1917,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1918,wheat,20/08/1918,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1918,wheat,04/09/1917,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1918,fallow,04/09/1917,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1919,wheat,27/08/1919,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1919,wheat,16/10/1918,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1919,fallow,16/10/1918,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1919,fallow,10/03/1919,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1920,wheat,17/08/1920,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1920,fallow,17/05/1920,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1921,wheat,28/07/1921,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1921,fallow,21/05/1921,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1922,wheat,06/09/1922,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1922,wheat,22/10/1921,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1922,fallow,,,Cultivated 4 times between Oct 1921 and Aug 1922,tillage process,3,4,,Cultivated 4 times between Oct 1921 and Aug 1922,,,,,,,,,,
R/WF/3,1923,wheat,16/08/1923,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1924,wheat,06/09/1924,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1924,fallow,17/04/1924,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1925,wheat,18/08/1925,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1927,wheat,31/08/1927,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1928,wheat,22/08/1928,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1929,wheat,21/08/1929,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1929,wheat,17/09/1928,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1929,fallow,,,Ploughed 3 times between Sept 1928 and July 1929,tillage process,3,3,,Ploughed 3 times between Sept 1928 and July 1929,,,,,,,,,,
R/WF/3,1930,wheat,14/08/1930,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1930,wheat,06/09/1929,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1930,fallow,,,Cultivated 3 times between Sept 1929 and June 1930,tillage process,3,3,,Cultivated 3 times between Sept 1929 and June 1930,,,,,,,,,,
R/WF/3,1931,wheat,21/08/1931,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1931,wheat,06/10/1930,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1931,fallow,06/10/1930,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1931,fallow,08/05/1931,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1932,wheat,10/08/1932,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1932,wheat,16/09/1931,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1932,fallow,,,Cultivated 3 times between Sept 1931 and June 1932,tillage process,3,3,,Cultivated 3 times between Sept 1931 and June 1932,,,,,,,,,,
R/WF/3,1933,wheat,02/09/1932,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1933,wheat,15/10/1932,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1933,wheat,31/03/1933,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1933,wheat,26/07/1933,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1933,fallow,02/09/1932,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1933,fallow,31/05/1933,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1933,fallow,01/06/1933,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1933,fallow,31/03/1933,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1934,wheat,12/09/1933,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1934,wheat,07/04/1934,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1934,wheat,09/04/1934,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1934,wheat,08/08/1934,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1934,fallow,07/02/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1934,fallow,20/04/1934,,tractor cultivated,tillage process,3,1,,tractor cultivated,,,,,,,,,,
R/WF/3,1934,fallow,04/05/1934,,tractor cultivated,tillage process,3,1,,tractor cultivated,,,,,,,,,,
R/WF/3,1934,fallow,17/05/1934,,horse harrow,tillage process,3,1,,horse harrow,,,,,,,,,,
R/WF/3,1934,fallow,17/05/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1934,fallow,16/06/1934,,tractor cultivated,tillage process,3,1,,tractor cultivated,,,,,,,,,,
R/WF/3,1934,fallow,22/06/1934,,two horse roll,land levelling process,3,,,two horse roll,,,,,,,,,,
R/WF/3,1934,fallow,28/06/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1934,fallow,24/07/1934,,tractor cultivated,tillage process,3,1,,tractor cultivated,,,,,,,,,,
R/WF/3,1935,wheat,23/08/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1935,wheat,23/08/1934,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1935,wheat,20/10/1934,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1935,wheat,21/03/1935,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1935,wheat,26/03/1935,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1935,wheat,13/08/1935,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1935,fallow,23/08/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1935,fallow,28/05/1935,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1935,fallow,23/08/1934,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1935,fallow,11/05/1935,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1935,fallow,03/07/1935,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1936,wheat,27/08/1935,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1936,wheat,24/10/1935,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1936,wheat,26/10/1935,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1936,wheat,24/03/1936,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1936,wheat,06/05/1936,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1936,wheat,01/09/1936,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1936,fallow,27/08/1935,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1936,fallow,01/04/1936,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1936,fallow,14/02/1936,,springtine harrowed,tillage process,3,1,,springtine harrowed,,,,,,,,,,
R/WF/3,1936,fallow,20/05/1936,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1936,fallow,29/06/1936,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1937,fallow,24/08/1936,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1937,wheat,16/10/1936,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1937,wheat,21/10/1936,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1937,wheat,03/05/1937,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1937,wheat,20/08/1937,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1937,fallow,03/06/1937,04/06/1937,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1937,fallow,05/10/1936,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1937,fallow,09/06/1937,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1937,fallow,26/04/1937,,springtine harrowed,tillage process,3,1,,springtine harrowed,,,,,,,,,,
R/WF/3,1937,fallow,26/03/1937,,springtine harrowed,tillage process,3,1,,springtine harrowed,,,,,,,,,,
R/WF/3,1938,wheat,23/09/1937,27/09/1937,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1938,wheat,16/10/1937,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1938,wheat,06/11/1937,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
